GID_2,exercise_year,exercise_label,phase_class,population,ndvi_mean_6m,rainfall_sum_6m,lst_mean_6m,nightlight_mean_6m,ndvi_mean_3m,rainfall_sum_3m,conflict_events_6m,conflict_fatalities_6m
NGA.8.6_1,2017,Sep-Dec,4.0,112815.0,0.34895282269398337,769.4644118041045,37.02960936157189,0.19125244595604005,0.4811892838341027,647.1678294103775,3,37
NGA.8.7_1,2017,Sep-Dec,4.0,151616.0,0.42823429654573536,694.1015858539704,36.60644860604308,0.19939559798778006,0.6044774456598433,599.3140096019965,19,101
NGA.8.11_1,2017,Sep-Dec,4.0,199702.0,0.4340145324979705,667.9575024551209,36.91252060243932,0.20513462064213836,0.6124826692988948,585.1752655588659,13,49
NGA.8.12_1,2017,Sep-Dec,2.0,243893.0,0.39430178668735244,791.4458583511829,36.625887103639855,0.24114976349985384,0.5461638398535201,635.1064232984897,0,0
NGA.8.18_1,2017,Sep-Dec,3.0,129637.0,0.344240663661401,778.1836355054103,36.78689378502196,0.22586936677136904,0.45746694800698395,635.6956205331765,0,0
NGA.8.28_1,2017,Sep-Dec,2.0,219859.0,0.37066854945320055,741.2701251695999,36.10864037472991,0.22392812613003307,0.4960059457489014,591.3639190721624,0,0
NGA.36.2_1,2017,Sep-Dec,3.0,177746.0,0.25552420933366704,311.3645876176268,37.426475060081586,0.2245679938800744,0.336126915644049,304.6935413209845,0,0
NGA.36.3_1,2017,Sep-Dec,2.0,259977.0,0.2892463533816365,519.4015082154507,36.619717752565876,0.24855303433652023,0.38863070931289473,472.581758121098,0,0
NGA.36.6_1,2017,Sep-Dec,3.0,316411.0,0.29059370557567155,392.2370169505711,38.26252101064011,0.2174010285570868,0.3909549633544114,382.6402801329531,0,0
NGA.36.7_1,2017,Sep-Dec,4.0,229301.0,0.34940806584661316,595.4025812584574,36.975833181779585,0.2061617546200425,0.48509365752311634,534.1625048928527,1,1
NGA.36.8_1,2017,Sep-Dec,4.0,214885.0,0.33113123695347557,610.285385506811,37.834948948194686,0.2074925987514943,0.459767329166144,540.1053109436484,0,0
NGA.36.15_1,2017,Sep-Dec,3.0,141202.0,0.2771092140994443,442.54919652374576,37.596088959165854,0.2167436731683178,0.3657853265865461,417.96429673665796,0,0
NGA.36.16_1,2017,Sep-Dec,3.0,216066.0,0.2648221366542256,287.3419918191958,38.31824590668165,0.229420109636137,0.3502605890191544,281.0592965253355,0,0
NGA.36.1_1,2017,Sep-Dec,3.0,204246.0,0.30692372068147217,319.37655462265144,36.76771101107796,0.21687545783064896,0.409375201118128,312.78346509177015,0,0
NGA.36.9_1,2017,Sep-Dec,3.0,190243.0,0.2912524643050248,365.4153874608111,36.76336091113543,0.21728273200513468,0.3861566630457563,355.4127139642513,0,0
NGA.36.10_1,2017,Sep-Dec,3.0,107950.0,0.2726363027910895,308.0427638044132,37.744576541609284,0.23176607687164383,0.3572400739075254,301.750006646064,0,0
NGA.36.11_1,2017,Sep-Dec,3.0,107784.0,0.26488289209236904,369.79625226268803,38.13349377659166,0.21989683628547593,0.3435744847460713,363.4745399294845,0,0
NGA.36.17_1,2017,Sep-Dec,3.0,201177.0,0.25623706846873057,300.14590922210914,38.638374497957614,0.2304596820145514,0.3303183568930515,294.82020124579833,0,0
NGA.36.12_1,2017,Sep-Dec,3.0,183440.0,0.2888074812623727,507.6575462252209,36.74178091276594,0.26260095331122985,0.39298816934950315,485.06904355478235,0,0
NGA.36.5_1,2017,Sep-Dec,4.0,329072.0,0.2874294255665171,507.2572679017233,36.68904135682185,0.2171519071267379,0.3890065484289605,478.99812508591015,0,0
NGA.36.4_1,2017,Sep-Dec,3.0,230190.0,0.3229197653032196,567.5689065277054,36.76464282380148,0.21976648002555824,0.43922584814533644,521.2675037849754,0,0
NGA.36.13_1,2017,Sep-Dec,3.0,207627.0,0.272327168932751,349.9916791440306,37.51188724860318,0.23720126487842283,0.3392362813920502,342.82391308333257,0,0
NGA.36.14_1,2017,Sep-Dec,2.0,749099.0,0.2734779057070643,539.7602798321018,36.45613147371775,0.28981518040877136,0.3654622278259745,510.80294090577274,0,0
NGA.2.10_1,2017,Jan-May,4.0,184502.0,0.5188930859674485,725.6427739469859,33.578379814607956,0.08672291576087442,0.39620354647214723,15.430945839290763,2,46
NGA.2.13_1,2017,Jan-May,3.0,212521.0,0.49350116054884446,784.066015805292,33.352608470866485,-0.0322131222424052,0.39231291177982763,25.718843794043607,0,0
NGA.2.14_1,2017,Jan-May,2.0,206732.0,0.4921089242668324,764.5226644166262,33.303374035443916,0.008353711818776251,0.40646763844139716,39.35431086987547,0,0
NGA.2.15_1,2017,Jan-May,3.0,176442.0,0.5073019922647133,785.8519958385028,32.59322275565515,-0.0165544318832315,0.4181636521079269,48.114366614752115,0,0
NGA.2.11_1,2017,Jan-May,3.0,152191.0,0.5080888594909635,725.392180851677,33.76572800795285,-0.025043557680259083,0.4216077161031609,63.46893533561385,0,0
NGA.2.5_1,2017,Jan-May,3.0,200379.0,0.4669848867354838,639.7472817053783,33.937459204038696,0.03307854627010593,0.3815607633644886,39.63941288030187,0,0
NGA.2.7_1,2017,Jan-May,3.0,231438.0,0.4800557056101658,792.8894455335405,34.46422216389311,0.0022415885328247336,0.371389551820926,60.83426002692212,0,0
NGA.2.18_1,2017,Jan-May,3.0,263693.0,0.5005497602393331,720.5077326222506,34.262390859832216,-0.013962980426984281,0.39431346681021434,61.1690971568909,0,0
NGA.2.4_1,2017,Jan-May,1.0,177890.0,0.46323566698713176,822.2498968996122,34.814927989312324,-0.014766626322866202,0.35621175742846606,63.217830692404554,0,0
NGA.2.20_1,2017,Jan-May,3.0,271288.0,0.4004661303509261,595.7731138066282,33.279668539738516,0.5508809262819918,0.35062217111062116,33.4341257219492,0,0
NGA.2.21_1,2017,Jan-May,2.0,266307.0,0.4718660007377941,619.550649404175,34.67701277432854,0.17128702534114607,0.37629825208896667,32.514592106850095,0,0
NGA.2.2_1,2017,Jan-May,2.0,283659.0,0.522379344645167,688.4777852764975,33.396373772525244,0.0004122101824487496,0.4144211250342451,46.06073793214949,0,0
NGA.2.6_1,2017,Jan-May,2.0,243287.0,0.3998608571991496,656.1459708742889,33.80704967054584,-0.00712548760005412,0.3333315032658617,49.30807562382036,0,0
NGA.2.17_1,2017,Jan-May,1.0,203991.0,0.4458871943337954,725.5135810376667,34.33685762937454,-0.030076048412344302,0.35613326226166403,54.150516529198136,0,0
NGA.2.3_1,2017,Jan-May,1.0,224542.0,0.5350095888186376,961.5749945646901,30.832241252709263,0.0003180425917855163,0.45553579272787775,82.81882156426127,0,0
NGA.2.1_1,2017,Jan-May,1.0,246662.0,0.46005286290999775,615.4572941069047,34.39834990418789,0.051704363013781056,0.36643122647505805,42.3263553216854,2,21
NGA.2.9_1,2017,Jan-May,1.0,154364.0,0.49468741919437403,607.1917917377982,32.212717142555434,0.027237294482565202,0.42434846621024463,48.68996698993363,0,0
NGA.2.12_1,2017,Jan-May,3.0,209547.0,0.4880132612675056,770.1809174835606,34.929449545234604,-0.007189928609842182,0.3671525071680768,59.800395654988726,0,0
NGA.2.19_1,2017,Jan-May,1.0,71213.0,0.5936687165060542,1053.364840120404,28.673600074339188,-0.020321769856033615,0.5473233993901158,143.71634413871493,0,0
NGA.2.16_1,2017,Jan-May,2.0,124149.0,0.4865065511316538,597.2619306352801,32.667811887394805,0.010093252813744416,0.4095214133479412,48.68055425279065,0,0
NGA.2.8_1,2017,Jan-May,2.0,230544.0,0.546871902045626,848.5715810030377,32.33206780031163,0.0022398352421346504,0.43506052283506014,60.492280837005495,0,0
NGA.8.3_1,2017,Jan-May,4.0,391295.0,0.46429758775446595,601.9713017992018,35.33523495919464,0.08571220496557393,0.33028768647823975,9.975733362883762,16,85
NGA.8.22_1,2017,Jan-May,3.0,782271.0,0.3426175288860454,453.7964812897659,35.371799731495514,1.1989058813389837,0.29706259354038217,6.1857103050011615,7,22
NGA.8.13_1,2017,Jan-May,3.0,302921.0,0.4110173515897278,478.6953011623028,34.409866594080064,0.0993211649632111,0.32412837254570376,5.38133017996536,6,26
NGA.8.20_1,2017,Jan-May,4.0,150079.0,0.47481990389865203,485.3826406641265,34.44763044538601,0.20709170230713222,0.341220482138157,6.352986848825518,0,0
NGA.8.15_1,2017,Jan-May,4.0,88128.0,0.4141999534253184,481.51182657093614,35.03314014803404,0.07390700893551926,0.2987977762148923,9.16675138752544,3,40
NGA.8.8_1,2017,Jan-May,4.0,152169.0,0.43540828176508106,498.18650574510224,35.34428816270432,0.06437484661659792,0.3195749474517015,10.742947864988754,3,9
NGA.8.16_1,2017,Jan-May,4.0,227905.0,0.48916070568138,541.250887338438,34.08726336500887,0.18163340763472866,0.3532109652592743,7.867408244678769,1,0
NGA.8.26_1,2017,Jan-May,4.0,342592.0,0.38890489467956685,489.712611549639,35.48417379751955,0.0365297206869762,0.28136427996101104,11.445559094271012,2,31
NGA.8.2_1,2017,Jan-May,4.0,207606.0,0.4635589815501902,760.2565009641393,34.9173823444937,-0.02056027152116997,0.34374288148625237,31.666119081418316,5,8
NGA.8.5_1,2017,Jan-May,3.0,254610.0,0.47337575270280235,758.8835438679538,33.97061957114354,0.010333867723681967,0.3441753336274751,32.36112102434953,0,0
NGA.8.7_1,2017,Jan-May,3.0,337814.0,0.5031658145966239,662.1903229411025,34.27004048329774,0.22463487980705651,0.34400730449927713,16.955573965863813,5,22
NGA.8.6_1,2017,Jan-May,4.0,960974.0,0.45325772484730614,734.4958851143524,35.0163591573668,-0.01772442342902115,0.3269534981079802,26.72886195109665,6,35
NGA.8.11_1,2017,Jan-May,4.0,400644.0,0.5098590310144865,661.5404121282909,34.1639118221421,0.1794850354301231,0.3639057674691933,10.080171831999484,8,41
NGA.8.4_1,2017,Jan-May,3.0,414552.0,0.4307816946639125,742.9047546628476,35.056923664461344,-0.005728365278074715,0.33808388924597604,38.93757506066593,0,0
NGA.8.28_1,2017,Jan-May,3.0,146291.0,0.44310426109681605,753.8998424016584,34.469523481112226,-0.013032050236629145,0.3504561528894609,41.08536452116144,0,0
NGA.8.12_1,2017,Jan-May,3.0,174901.0,0.4897563368095736,781.6357040785416,33.7806433292784,-0.004490316953184118,0.3626471882754507,41.296835823851076,0,0
NGA.8.18_1,2017,Jan-May,3.0,821282.0,0.4422363211134308,808.6719091837774,34.539726895005764,-0.01003457204440595,0.3579318179677566,44.39261498828386,0,0
NGA.8.1_1,2017,Jan-May,4.0,144958.0,0.29503599227597777,324.1152875436404,38.363249304270404,0.0032517612436511506,0.20602084339514362,1.472470911936138,8,429
NGA.8.9_1,2017,Jan-May,3.0,219155.0,0.3875205254843393,415.8244805916606,36.80457919174693,-0.009314802358219234,0.2546668368839717,2.7289953798586604,1,15
NGA.8.10_1,2017,Jan-May,4.0,139055.0,0.33872725048915603,421.4063496776828,38.17328897097723,-0.0077927742104965505,0.22843037262681642,4.137277921438007,1,1
NGA.8.14_1,2017,Jan-May,3.0,130366.0,0.4304339872253949,535.4731802256803,34.911532998872325,0.1324381159523634,0.3065071160595953,9.434345632196074,1,2
NGA.8.17_1,2017,Jan-May,4.0,294561.0,0.3295667576224773,378.30509760865436,38.820140697095496,0.037861521999169874,0.21604050342176517,4.183841290469313,11,140
NGA.8.21_1,2017,Jan-May,4.0,203181.0,0.3949775235605005,471.25913607243456,35.48759590577989,-0.00458076547194475,0.2862520155647588,2.59830744171009,0,0
NGA.8.25_1,2017,Jan-May,4.0,159111.0,0.40121341268560157,465.46058694590306,36.05468560214036,0.060199206290549874,0.2767144220446041,2.2258063438290883,7,37
NGA.8.27_1,2017,Jan-May,4.0,143524.0,0.3929553603968951,442.39565966815485,36.311711754770165,0.17138553057621778,0.27319744748460145,1.0416734266917123,0,0
NGA.8.23_1,2017,Jan-May,4.0,187465.0,0.409212289625428,499.28760390661273,35.82338309348665,0.17398825995025755,0.26898790805217715,7.678712645136709,2,9
NGA.8.24_1,2017,Jan-May,4.0,168961.0,0.35592195497093265,347.43721692501333,37.06631051364379,0.001273558467360948,0.22996698871981466,4.284083859888811,2,42
NGA.36.2_1,2017,Jan-May,3.0,153930.0,0.3043679970480982,371.82417326423024,36.008379617335365,-0.0014101810844375845,0.22281065007580705,3.8055659582095975,0,0
NGA.36.3_1,2017,Jan-May,3.0,124152.0,0.35447871240454565,500.6092604147573,34.98651778907344,0.02561238502645045,0.2687746700397559,6.827411463409738,0,0
NGA.36.6_1,2017,Jan-May,3.0,221880.0,0.3545699723705186,379.0399015504902,36.00424859834063,-0.008687510348499366,0.2332323610814121,3.805391998531397,1,4
NGA.36.7_1,2017,Jan-May,4.0,183502.0,0.4337791709743511,610.2376639772746,34.7072178139221,0.04964016432576022,0.3040017578979945,16.884938282015316,0,0
NGA.36.8_1,2017,Jan-May,4.0,146011.0,0.4407728207856579,663.0454153145607,34.80484296659848,-0.014056585548738528,0.31883096083584944,22.83148461454488,0,0
NGA.36.15_1,2017,Jan-May,3.0,108904.0,0.3433089912200664,442.1211635499919,35.68084789834426,-0.008183460484304865,0.24916834660141163,4.594898011385836,0,0
NGA.36.16_1,2017,Jan-May,3.0,177483.0,0.31111679388063046,341.6362111833221,36.74269036659168,-0.0020108347505660147,0.22701247826686433,2.552866439437516,0,0
NGA.36.1_1,2017,Jan-May,3.0,197176.0,0.36793347158013484,362.92208012567914,34.46876976882007,-0.011668940105258735,0.2892517659285713,2.9776549541946804,0,0
NGA.36.9_1,2017,Jan-May,3.0,323144.0,0.3508645760145151,399.14264625449096,34.762502665517694,-0.007277985684442586,0.2694542289693051,3.6348242732443343,0,0
NGA.36.10_1,2017,Jan-May,3.0,150923.0,0.31854740090045724,366.518428000947,35.97877035237826,-0.0033441751699297834,0.24636586681327802,3.076300627538634,0,0
NGA.36.11_1,2017,Jan-May,2.0,86901.0,0.3101884515751779,397.20417019911696,36.322164458374715,-0.0077640193707319005,0.23279334379124253,4.675560923549142,0,0
NGA.36.17_1,2017,Jan-May,3.0,156698.0,0.30601286076188633,371.8477680579709,36.74847175185614,-0.008162818086095503,0.22002966347231898,2.7529561327429772,0,0
NGA.36.12_1,2017,Jan-May,3.0,123883.0,0.3732700227717993,555.4820422245825,34.73591984221047,0.04362779805297288,0.28914023295186225,8.520076569812934,0,0
NGA.36.5_1,2017,Jan-May,3.0,424252.0,0.34563653626822227,548.416165509089,35.33556345988417,-0.005959112382232103,0.25932593265561504,7.573520673148531,0,0
NGA.36.4_1,2017,Jan-May,3.0,193104.0,0.4136256755022251,617.457045031507,34.37962773472325,-0.003281476525696649,0.31069244078974007,13.901395689062063,0,0
NGA.36.13_1,2017,Jan-May,3.0,212481.0,0.34345940938752606,392.06804544952786,35.231005624688855,-0.0018228420597783013,0.2701059787952545,3.886537389061555,0,0
NGA.36.14_1,2017,Jan-May,2.0,290408.0,0.34112557000309,575.0214641417438,35.29514657695639,0.06666602763180567,0.26844626232018404,7.639575815707313,0,0
NGA.2.1_1,2018,Sep-Dec,2.0,275469.0,0.38842488190162694,752.221021568813,34.78906974789711,0.3397908135641525,0.5093162209678862,621.1948287108344,1,21
NGA.2.2_1,2018,Sep-Dec,2.0,317359.0,0.44263628809826533,922.036001694961,34.79057354167564,0.23534972879994923,0.5719397990721288,756.2491775785676,0,0
NGA.2.3_1,2018,Sep-Dec,2.0,257492.0,0.47980235345313216,1109.7050034444687,31.18313354133478,0.2513385400566789,0.5737634571090434,850.0168725350107,0,0
NGA.2.4_1,2018,Sep-Dec,2.0,196747.0,0.3678186547716305,942.2758715618219,35.32657639310013,0.23317260903237644,0.4942165026861309,792.0188394079908,1,5
NGA.2.5_1,2018,Sep-Dec,2.0,223916.0,0.3888714408262806,829.007443930858,34.99431753884872,0.26759275790364295,0.5113292493635958,696.378222846229,0,0
NGA.2.6_1,2018,Sep-Dec,2.0,267427.0,0.3206698601020976,698.8027595076635,34.88669309275503,0.24679586822172161,0.44429839230696905,578.267754258276,0,0
NGA.2.7_1,2018,Sep-Dec,2.0,256333.0,0.3497204953199687,896.1406719188765,35.009493771940505,0.22214343873701167,0.464787345194894,770.7433721235651,0,0
NGA.2.8_1,2018,Sep-Dec,2.0,255216.0,0.485659727340836,1026.227532957987,33.7575423989195,0.25419019027208883,0.6187795221314771,818.1827041790494,0,0
NGA.2.9_1,2018,Sep-Dec,3.0,168564.0,0.4292559423083546,674.8823825263881,32.43949316600018,0.27746987776354876,0.5576875290526356,555.6919550536038,1,16
NGA.2.10_1,2018,Sep-Dec,3.0,204759.0,0.3978515246653962,778.9690259359375,35.13346871371934,0.2132530533189816,0.5423365022672012,669.2478488231915,5,22
NGA.2.11_1,2018,Sep-Dec,3.0,166929.0,0.39651344453198595,909.840912173449,34.465579289567906,0.21521705040577596,0.5084179795355087,760.2690699664568,0,0
NGA.2.12_1,2018,Sep-Dec,2.0,231516.0,0.44021367925226923,945.2418145015497,35.15702057569218,0.26572098173513997,0.5711189098599564,748.6900147257306,0,0
NGA.2.13_1,2018,Sep-Dec,3.0,235205.0,0.38859970515063397,833.4116352999723,33.66600204817004,0.2256921350506387,0.5098793758130359,708.1975984064942,1,1
NGA.2.14_1,2018,Sep-Dec,2.0,229264.0,0.3807579368625696,871.4970921661464,33.26172851631211,0.22948378946589906,0.47854895708395034,743.9528199357934,1,42
NGA.2.15_1,2018,Sep-Dec,2.0,196899.0,0.4035677683636565,922.5010479715415,32.908910771876386,0.214868595019813,0.4921881118923914,777.2198846489794,0,0
NGA.2.16_1,2018,Sep-Dec,3.0,138708.0,0.42576214494195946,693.396266687776,33.14586162190795,0.31247901464279315,0.5785955577678732,572.4729163682404,5,30
NGA.2.17_1,2018,Sep-Dec,2.0,224981.0,0.3871291682973934,794.5568403529069,34.38548278860952,0.22618172174447748,0.5140859784319894,662.6157969533932,0,0
NGA.2.18_1,2018,Sep-Dec,2.0,295734.0,0.41486122440575723,865.5710624081902,34.60425250232243,0.22488655536648416,0.5432132994326501,725.4607312741729,0,0
NGA.2.19_1,2018,Sep-Dec,2.0,79057.0,0.5873700409449505,1135.6058205190518,28.286427791339644,0.20671003931878204,0.6444751992240091,818.1212637963047,0,0
NGA.2.20_1,2018,Sep-Dec,2.0,302531.0,0.35826643547531684,810.0652780408216,34.16742216919072,1.0172425439675228,0.4356707795373828,672.5747187038629,0,0
NGA.2.21_1,2018,Sep-Dec,2.0,297263.0,0.39921960862105554,851.9215474889855,36.31002884003379,0.4382469343306381,0.5259599087153678,702.9291816987813,1,1
NGA.8.2_1,2018,Sep-Dec,3.0,281932.0,0.35079562269129466,823.3925122824854,35.69138850549697,0.21604345782788117,0.4786328140714662,714.6094386094946,1,1
NGA.8.3_1,2018,Sep-Dec,3.0,126125.0,0.39537873582899047,557.6557702411098,37.21968536710231,0.22803536594735832,0.578093023297252,485.64671578470603,15,75
NGA.8.4_1,2018,Sep-Dec,2.0,122172.0,0.3335579942308338,720.794238600804,36.0295318698932,0.23697427671998625,0.4372060901833901,587.1337631523995,0,0
NGA.8.5_1,2018,Sep-Dec,2.0,323251.0,0.35744947314267583,800.2668239300712,36.27331126829174,0.24069093622852247,0.5011284487744657,694.9291724204261,0,0
NGA.8.6_1,2018,Sep-Dec,3.0,125421.0,0.35707777366535454,794.2051929987902,36.499882266599656,0.21539562596644768,0.49846234299165265,693.4776232480691,0,0
NGA.8.7_1,2018,Sep-Dec,3.0,129385.0,0.41329586591966544,720.6517858276223,36.28361271609011,0.22649665035895516,0.5856846865702573,641.9376610317285,4,59
NGA.8.8_1,2018,Sep-Dec,3.0,119724.0,0.3572837304124388,478.8638720876792,37.31609964219401,0.23119141382974584,0.521080378868064,416.3607974409716,8,8
NGA.8.9_1,2018,Sep-Dec,3.0,170477.0,0.3436875875976551,421.7207153722156,37.08745123190275,0.23282277928744577,0.4966405810043378,409.95282255848247,1,45
NGA.8.10_1,2018,Sep-Dec,3.0,17714.0,0.3272688062199891,365.91878969644875,37.56027673014206,0.2351731519733459,0.4759036669540338,354.61932113066496,5,50
NGA.8.11_1,2018,Sep-Dec,3.0,190941.0,0.41658949878483975,650.0276383127114,35.9677701146172,0.21068361207710795,0.5888065373718957,573.6624840093616,8,30
NGA.8.12_1,2018,Sep-Dec,2.0,236005.0,0.3972305552881368,876.8232044645156,35.2791166014339,0.25406149081736595,0.549639774189428,742.8959957848797,0,0
NGA.8.13_1,2018,Sep-Dec,2.0,824278.0,0.32398001664650494,457.5584105845414,36.722215853913404,0.3148329843465583,0.4506430701660369,412.81947884478944,3,8
NGA.8.14_1,2018,Sep-Dec,3.0,125063.0,0.3255628305897012,573.7237731063385,36.04276533766417,0.22019860316509296,0.4565762399761646,522.3304593858413,1,1
NGA.8.15_1,2018,Sep-Dec,4.0,83442.0,0.3209414847862971,444.98236449245894,37.18618410063736,0.20895268186383917,0.46685221687167844,400.8784954616682,2,13
